彩种,期数,方案ID,玩法Name,玩法Id,下注内容,投注金额,开奖号码,结果,派彩,返点
秒速时时彩,201804240653,213620180424065336nq2eh3,前中后-中三-豹子,23201,豹子,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336np2eh1,前中后-中三-对子,23203,对子,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336np2eh0,前中后-后三-杂六,23305,杂六,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336np2egu,前中后-后三-对子,23303,对子,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336np2egr,前中后-前三-半顺,23104,半顺,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336np2egq,1-5球-第四球-2,22402,2,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336no2egn,1-5球-第五球-9,22509,9,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336no2egl,1-5球-第一球-3,22103,3,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336no2egk,1-5球-第三球-2,22302,2,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336no2egh,1-5球-第一球-7,22107,7,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336no2egf,1-5球-第二球-3,22203,3,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336nn2ege,1-5球-第三球-0,22310,0,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336nn2egb,1-5球-第五球-3,22503,3,1.0,"9,2,5,8,4",未中奖,0.0,0.0
